movie_id,title,clean_title,year,genres,tags,rating_count,rating_mean,imdb_id,tmdb_id,text
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery Sci-Fi Thriller,time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|twist ending,177,3.9831,0114746,63,Twelve Monkeys (a.k.a. 12 Monkeys) Mystery Sci-Fi Thriller time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake twist ending
34,Babe (1995),Babe,1995,Children Drama,Animal movie|pigs|villain nonexistent or not needed for good story,128,3.6523,0112431,9598,Babe Children Drama Animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Dead Man Walking,1995,Crime Drama,death penalty|Nun,67,3.8358,0112818,687,Dead Man Walking Crime Drama death penalty Nun
38,It Takes Two (1995),It Takes Two,1995,Children Comedy,twins,4,2.125,0113442,33689,It Takes Two Children Comedy twins
39,Clueless (1995),Clueless,1995,Comedy Romance,chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen,104,3.2933,0112697,9603,Clueless Comedy Romance chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,Drama,In Netflix queue|South Africa,2,4.25,0112749,34615,"Cry, the Beloved Country Drama In Netflix queue South Africa"
41,Richard III (1995),Richard III,1995,Drama War,Shakespeare,15,3.7,0114279,31174,Richard III Drama War Shakespeare
42,Dead Presidents (1995),Dead Presidents,1995,Action Crime Drama,,7,3.0,0112819,11443,Dead Presidents Action Crime Drama
43,Restoration (1995),Restoration,1995,Drama,England,8,3.1875,0114272,35196,Restoration Drama England
44,Mortal Kombat (1995),Mortal Kombat,1995,Action Adventure Fantasy,,46,2.5435,0113855,9312,Mortal Kombat Action Adventure Fantasy
45,To Die For (1995),To Die For,1995,Comedy Drama Thriller,Journalism,32,3.3125,0114681,577,To Die For Comedy Drama Thriller Journalism
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995,Drama Romance,wedding,15,3.0667,0113347,11861,How to Make an American Quilt Drama Romance wedding
47,Seven (a.k.a. Se7en) (1995),Seven (a.k.a. Se7en),1995,Mystery Thriller,mystery|twist ending|serial killer,203,3.9754,0114369,807,Seven (a.k.a. Se7en) Mystery Thriller mystery twist ending serial killer
48,Pocahontas (1995),Pocahontas,1995,Animation Children Drama Musical Romance,,68,3.1471,0114148,10530,Pocahontas Animation Children Drama Musical Romance
49,When Night Is Falling (1995),When Night Is Falling,1995,Drama Romance,,1,3.0,0114916,8391,When Night Is Falling Drama Romance
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995,Crime Mystery Thriller,mindfuck|suspense|thriller|tricky|twist ending|heist,204,4.2377,0114814,629,"Usual Suspects, The Crime Mystery Thriller mindfuck suspense thriller tricky twist ending heist"
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995,Comedy Drama Romance,adoption|prostitution,28,3.4643,0113819,11448,Mighty Aphrodite Comedy Drama Romance adoption prostitution
53,Lamerica (1994),Lamerica,1994,Adventure Drama,,2,5.0,0110299,49133,Lamerica Adventure Drama
54,"Big Green, The (1995)","Big Green, The",1995,Children Comedy,,3,2.3333,0112499,26441,"Big Green, The Children Comedy"
55,Georgia (1995),Georgia,1995,Drama,,1,4.0,0113158,97406,Georgia Drama
57,Home for the Holidays (1995),Home for the Holidays,1995,Drama,,8,3.0625,0113321,9089,Home for the Holidays Drama
58,"Postman, The (Postino, Il) (1994)","Postman, The (Postino, Il)",1994,Comedy Drama Romance,writing,37,4.027,0110877,11010,"Postman, The (Postino, Il) Comedy Drama Romance writing"
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",1995,Adventure Children Fantasy,,34,3.2353,0113419,11359,"Indian in the Cupboard, The Adventure Children Fantasy"
61,Eye for an Eye (1996),Eye for an Eye,1996,Drama Thriller,,6,3.75,0116260,17182,Eye for an Eye Drama Thriller
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,Drama,music,80,3.7062,0113862,2054,Mr. Holland's Opus Drama music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy Crime,,7,2.7143,0116126,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood Comedy Crime
64,Two if by Sea (1996),Two if by Sea,1996,Comedy Romance,,5,2.2,0118002,19760,Two if by Sea Comedy Romance
65,Bio-Dome (1996),Bio-Dome,1996,Comedy,,31,2.5323,0115683,9536,Bio-Dome Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996,Action Sci-Fi Thriller,,9,2.5,0116839,11525,Lawnmower Man 2: Beyond Cyberspace Action Sci-Fi Thriller
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995,Comedy Romance,,5,3.4,0113149,4482,French Twist (Gazon maudit) Comedy Romance
69,Friday (1995),Friday,1995,Comedy,,20,3.775,0113118,10634,Friday Comedy
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,Action Comedy Horror Thriller,,55,3.5091,0116367,755,From Dusk Till Dawn Action Comedy Horror Thriller
71,Fair Game (1995),Fair Game,1995,Action,,5,1.7,0113010,11859,Fair Game Action
72,Kicking and Screaming (1995),Kicking and Screaming,1995,Comedy Drama,,7,3.2143,0113537,28387,Kicking and Screaming Comedy Drama
73,"Misérables, Les (1995)","Misérables, Les",1995,Drama War,,13,3.4615,0113828,48750,"Misérables, Les Drama War"
74,Bed of Roses (1996),Bed of Roses,1996,Drama Romance,,8,4.0,0115644,20927,Bed of Roses Drama Romance
75,Big Bully (1996),Big Bully,1996,Comedy Drama,,5,2.2,0115676,36929,Big Bully Comedy Drama
76,Screamers (1995),Screamers,1995,Action Sci-Fi Thriller,,15,3.4,0114367,9102,Screamers Action Sci-Fi Thriller
77,Nico Icon (1995),Nico Icon,1995,Documentary,,1,4.0,0113973,124626,Nico Icon Documentary
78,"Crossing Guard, The (1995)","Crossing Guard, The",1995,Action Crime Drama Thriller,,3,3.3333,0112744,27526,"Crossing Guard, The Action Crime Drama Thriller"
79,"Juror, The (1996)","Juror, The",1996,Drama Thriller,,17,2.7647,0116731,9623,"Juror, The Drama Thriller"
80,"White Balloon, The (Badkonake sefid) (1995)","White Balloon, The (Badkonake sefid)",1995,Children Drama,,2,4.0,0112445,46785,"White Balloon, The (Badkonake sefid) Children Drama"
81,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,1995,Crime Drama Romance,,14,3.1071,0114660,400,Things to Do in Denver When You're Dead Crime Drama Romance
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),1995,Comedy Drama,,8,3.875,0112379,880,Antonia's Line (Antonia) Comedy Drama
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995,Drama Romance,,1,3.0,0114039,146599,Once Upon a Time... When We Were Colored Drama Romance
85,Angels and Insects (1995),Angels and Insects,1995,Drama Romance,,7,3.8571,0112365,8447,Angels and Insects Drama Romance
86,White Squall (1996),White Squall,1996,Action Adventure Drama,,15,3.9667,0118158,10534,White Squall Action Adventure Drama
87,Dunston Checks In (1996),Dunston Checks In,1996,Children Comedy,,7,2.5,0116151,17414,Dunston Checks In Children Comedy
88,Black Sheep (1996),Black Sheep,1996,Comedy,,16,3.1562,0115697,13997,Black Sheep Comedy
89,Nick of Time (1995),Nick of Time,1995,Action Thriller,,10,3.25,0113972,2086,Nick of Time Action Thriller
92,Mary Reilly (1996),Mary Reilly,1996,Drama Horror Thriller,Jekyll and Hyde,8,2.625,0117002,9095,Mary Reilly Drama Horror Thriller Jekyll and Hyde
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995,Comedy Horror Romance,,9,2.8333,0114825,12158,Vampire in Brooklyn Comedy Horror Romance
94,Beautiful Girls (1996),Beautiful Girls,1996,Comedy Drama Romance,,10,3.95,0115639,9283,Beautiful Girls Comedy Drama Romance
95,Broken Arrow (1996),Broken Arrow,1996,Action Adventure Thriller,,84,3.0238,0115759,9208,Broken Arrow Action Adventure Thriller
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,1995,Comedy Drama,theater,1,3.5,0113403,40154,In the Bleak Midwinter Comedy Drama theater
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",1995,Crime Drama,,10,3.9,0113247,406,"Hate (Haine, La) Crime Drama"
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,1995,Documentary,,2,5.0,0113283,63076,Heidi Fleiss: Hollywood Madam Documentary
100,City Hall (1996),City Hall,1996,Drama Thriller,,14,2.7857,0115907,11062,City Hall Drama Thriller
101,Bottle Rocket (1996),Bottle Rocket,1996,Adventure Comedy Crime Romance,crime|off-beat comedy|quirky,23,3.7826,0115734,13685,Bottle Rocket Adventure Comedy Crime Romance crime off-beat comedy quirky
102,Mr. Wrong (1996),Mr. Wrong,1996,Comedy,,5,2.4,0117102,47475,Mr. Wrong Comedy
103,Unforgettable (1996),Unforgettable,1996,Mystery Sci-Fi Thriller,,3,3.0,0118040,2045,Unforgettable Mystery Sci-Fi Thriller
104,Happy Gilmore (1996),Happy Gilmore,1996,Comedy,test tag|golf|Adam Sandler,99,3.4394,0116483,9614,Happy Gilmore Comedy test tag golf Adam Sandler
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995,Drama Romance,,23,3.2826,0112579,688,"Bridges of Madison County, The Drama Romance"
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),1994,Comedy Drama,,1,4.0,0110251,11907,Nobody Loves Me (Keiner liebt mich) Comedy Drama
107,Muppet Treasure Island (1996),Muppet Treasure Island,1996,Adventure Children Comedy Musical,muppets,26,3.3269,0117110,10874,Muppet Treasure Island Adventure Children Comedy Musical muppets
108,Catwalk (1996),Catwalk,1996,Documentary,,1,4.0,0112646,89333,Catwalk Documentary
110,Braveheart (1995),Braveheart,1995,Action Drama War,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight|Scotland,237,4.0316,0112573,197,Braveheart Action Drama War beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland
111,Taxi Driver (1976),Taxi Driver,1976,Crime Drama Thriller,assassination,104,4.1058,0075314,103,Taxi Driver Crime Drama Thriller assassination
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx (Hont faan kui),1995,Action Adventure Comedy Crime,,46,3.5435,0113326,33542,Rumble in the Bronx (Hont faan kui) Action Adventure Comedy Crime
113,Before and After (1996),Before and After,1996,Drama Mystery,,3,3.3333,0115645,43566,Before and After Drama Mystery
116,Anne Frank Remembered (1995),Anne Frank Remembered,1995,Documentary,Holocaust,5,3.9,0112373,51352,Anne Frank Remembered Documentary Holocaust
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",1995,Crime Drama,,1,3.0,0115033,16934,"Young Poisoner's Handbook, The Crime Drama"
118,If Lucy Fell (1996),If Lucy Fell,1996,Comedy Romance,,2,2.5,0116606,10324,If Lucy Fell Comedy Romance
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",1995,Comedy,,2,3.0,0114536,78406,"Steal Big, Steal Little Comedy"
121,"Boys of St. Vincent, The (1992)","Boys of St. Vincent, The",1992,Drama,,2,4.0,0106473,32119,"Boys of St. Vincent, The Drama"
122,Boomerang (1992),Boomerang,1992,Comedy Romance,dating,16,2.6562,0103859,11066,Boomerang Comedy Romance dating
123,Chungking Express (Chung Hing sam lam) (1994),Chungking Express (Chung Hing sam lam),1994,Drama Mystery Romance,,4,4.375,0109424,11104,Chungking Express (Chung Hing sam lam) Drama Mystery Romance
125,Flirting With Disaster (1996),Flirting With Disaster,1996,Comedy,,12,3.5833,0116324,2074,Flirting With Disaster Comedy
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",1994,Adventure Children Fantasy,,7,2.0,0110647,27793,"NeverEnding Story III, The Adventure Children Fantasy"
128,Jupiter's Wife (1994),Jupiter's Wife,1994,Documentary,,1,3.0,0110217,290157,Jupiter's Wife Documentary
129,Pie in the Sky (1996),Pie in the Sky,1996,Comedy Romance,,1,2.0,0114131,110972,Pie in the Sky Comedy Romance
132,Jade (1995),Jade,1995,Thriller,,6,2.8333,0113451,11863,Jade Thriller
135,Down Periscope (1996),Down Periscope,1996,Comedy,,31,2.9516,0116130,9101,Down Periscope Comedy
137,Man of the Year (1995),Man of the Year,1995,Documentary,,1,3.0,0113756,5757,Man of the Year Documentary
140,Up Close and Personal (1996),Up Close and Personal,1996,Drama Romance,journalism,16,3.5,0118055,9302,Up Close and Personal Drama Romance journalism
141,"Birdcage, The (1996)","Birdcage, The",1996,Comedy,,86,3.4942,0115685,11000,"Birdcage, The Comedy"
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",1995,Comedy,,12,3.3333,0112585,16388,"Brothers McMullen, The Comedy"
145,Bad Boys (1995),Bad Boys,1995,Action Comedy Crime Drama Thriller,,51,3.2451,0112442,9737,Bad Boys Action Comedy Crime Drama Thriller
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",1995,Adventure Children,,3,3.3333,0112342,30765,"Amazing Panda Adventure, The Adventure Children"
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",1995,Drama,addiction|heroin|Leonardo DiCaprio|Mark Wahlberg,15,3.4667,0112461,10474,"Basketball Diaries, The Drama addiction heroin Leonardo DiCaprio Mark Wahlberg"
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",1995,Drama,,1,5.0,0112427,22279,"Awfully Big Adventure, An Drama"
149,Amateur (1994),Amateur,1994,Crime Drama Thriller,,1,2.0,0109093,30157,Amateur Crime Drama Thriller
150,Apollo 13 (1995),Apollo 13,1995,Adventure Drama IMAX,moon|NASA|space,201,3.8458,0112384,568,Apollo 13 Adventure Drama IMAX moon NASA space
151,Rob Roy (1995),Rob Roy,1995,Action Drama Romance War,,44,3.5455,0114287,11780,Rob Roy Action Drama Romance War
152,"Addiction, The (1995)","Addiction, The",1995,Drama Horror,,2,1.5,0112288,34996,"Addiction, The Drama Horror"
153,Batman Forever (1995),Batman Forever,1995,Action Adventure Comedy Crime,superhero,137,2.9161,0112462,414,Batman Forever Action Adventure Comedy Crime superhero
154,Beauty of the Day (Belle de jour) (1967),Beauty of the Day (Belle de jour),1967,Drama,,12,3.875,0061395,649,Beauty of the Day (Belle de jour) Drama
155,Beyond Rangoon (1995),Beyond Rangoon,1995,Adventure Drama War,,6,2.4167,0112495,1873,Beyond Rangoon Adventure Drama War
156,Blue in the Face (1995),Blue in the Face,1995,Comedy Drama,,3,3.3333,0112541,5894,Blue in the Face Comedy Drama
157,Canadian Bacon (1995),Canadian Bacon,1995,Comedy War,,11,2.8636,0109370,1775,Canadian Bacon Comedy War
158,Casper (1995),Casper,1995,Adventure Children,,62,2.8065,0112642,8839,Casper Adventure Children
159,Clockers (1995),Clockers,1995,Crime Drama Mystery,,14,2.8929,0112688,20649,Clockers Crime Drama Mystery
160,Congo (1995),Congo,1995,Action Adventure Mystery Sci-Fi,Michael Crichton,57,2.8772,0112715,10329,Congo Action Adventure Mystery Sci-Fi Michael Crichton
161,Crimson Tide (1995),Crimson Tide,1995,Drama Thriller War,submarine,103,3.6359,0112740,8963,Crimson Tide Drama Thriller War submarine
162,Crumb (1994),Crumb,1994,Documentary,In Netflix queue,17,4.2059,0109508,26564,Crumb Documentary In Netflix queue
163,Desperado (1995),Desperado,1995,Action Romance Western,,66,3.5606,0112851,8068,Desperado Action Romance Western
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,1995,Crime Film-Noir Mystery Thriller,,14,3.3214,0112857,8512,Devil in a Blue Dress Crime Film-Noir Mystery Thriller
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,1995,Action Crime Thriller,,144,3.5556,0112864,1572,Die Hard: With a Vengeance Action Crime Thriller
166,"Doom Generation, The (1995)","Doom Generation, The",1995,Comedy Crime Drama,,3,2.8333,0112887,13552,"Doom Generation, The Comedy Crime Drama"
168,First Knight (1995),First Knight,1995,Action Drama Romance,,54,3.0833,0113071,6520,First Knight Action Drama Romance
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,Adventure Children Drama,,10,2.4,0113114,9073,Free Willy 2: The Adventure Home Adventure Children Drama
170,Hackers (1995),Hackers,1995,Action Adventure Crime Thriller,,35,3.2286,0113243,10428,Hackers Action Adventure Crime Thriller
171,Jeffrey (1995),Jeffrey,1995,Comedy Drama,,6,3.8333,0113464,17447,Jeffrey Comedy Drama
172,Johnny Mnemonic (1995),Johnny Mnemonic,1995,Action Sci-Fi Thriller,,53,2.6792,0113481,9886,Johnny Mnemonic Action Sci-Fi Thriller
173,Judge Dredd (1995),Judge Dredd,1995,Action Crime Sci-Fi,,62,2.6694,0113492,9482,Judge Dredd Action Crime Sci-Fi
174,Jury Duty (1995),Jury Duty,1995,Comedy,,10,2.7,0113500,19326,Jury Duty Comedy
175,Kids (1995),Kids,1995,Drama,controversial|New York City|Nudity (Full Frontal),20,3.975,0113540,9344,Kids Drama controversial New York City Nudity (Full Frontal)
176,Living in Oblivion (1995),Living in Oblivion,1995,Comedy,,13,4.3077,0113677,9071,Living in Oblivion Comedy
177,Lord of Illusions (1995),Lord of Illusions,1995,Horror,,8,2.75,0113690,8973,Lord of Illusions Horror
178,Love & Human Remains (1993),Love & Human Remains,1993,Comedy Drama,,1,1.0,0107447,15730,Love & Human Remains Comedy Drama
179,Mad Love (1995),Mad Love,1995,Drama Romance,,2,1.5,0113729,47608,Mad Love Drama Romance
180,Mallrats (1995),Mallrats,1995,Comedy Romance,,36,3.4028,0113749,2293,Mallrats Comedy Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,1995,Action Children,,17,2.2647,0113820,9070,Mighty Morphin Power Rangers: The Movie Action Children
183,Mute Witness (1994),Mute Witness,1994,Comedy Horror Thriller,,2,3.5,0110604,48787,Mute Witness Comedy Horror Thriller
184,Nadja (1994),Nadja,1994,Drama,,2,3.5,0110620,34574,Nadja Drama
185,"Net, The (1995)","Net, The",1995,Action Crime Thriller,computers,112,3.0402,0113957,1642,"Net, The Action Crime Thriller computers"
186,Nine Months (1995),Nine Months,1995,Comedy Romance,,48,2.8229,0113986,11472,Nine Months Comedy Romance
187,Party Girl (1995),Party Girl,1995,Comedy,,4,4.125,0114095,36196,Party Girl Comedy
188,"Prophecy, The (1995)","Prophecy, The",1995,Fantasy Horror Mystery,,12,3.4583,0114194,11980,"Prophecy, The Fantasy Horror Mystery"
189,Reckless (1995),Reckless,1995,Comedy Fantasy,,1,3.0,0114241,58372,Reckless Comedy Fantasy
190,Safe (1995),Safe,1995,Thriller,,5,2.8,0114323,32646,Safe Thriller
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",1995,Drama Romance,,6,2.4167,0114345,10533,"Scarlet Letter, The Drama Romance"
193,Showgirls (1995),Showgirls,1995,Drama,,35,2.4714,0114436,10802,Showgirls Drama
194,Smoke (1995),Smoke,1995,Comedy Drama,,18,3.6667,0114478,10149,Smoke Comedy Drama
195,Something to Talk About (1995),Something to Talk About,1995,Comedy Drama Romance,,10,3.1,0114496,18402,Something to Talk About Comedy Drama Romance
196,Species (1995),Species,1995,Horror Sci-Fi,,45,2.6667,0114508,9348,Species Horror Sci-Fi
198,Strange Days (1995),Strange Days,1995,Action Crime Drama Mystery Sci-Fi Thriller,,28,3.25,0114558,281,Strange Days Action Crime Drama Mystery Sci-Fi Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,Drama Musical Romance,Made me cry,4,4.125,0058450,5967,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) Drama Musical Romance Made me cry"
201,Three Wishes (1995),Three Wishes,1995,Drama Fantasy,,1,3.0,0114663,47939,Three Wishes Drama Fantasy
202,Total Eclipse (1995),Total Eclipse,1995,Drama Romance,,1,3.0,0114702,36834,Total Eclipse Drama Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,,22,3.4318,0114682,9090,"To Wong Foo, Thanks for Everything! Julie Newmar Comedy"
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,1995,Action,,30,2.7167,0114781,3512,Under Siege 2: Dark Territory Action
205,Unstrung Heroes (1995),Unstrung Heroes,1995,Comedy Drama,,9,3.1667,0114798,52856,Unstrung Heroes Comedy Drama
206,Unzipped (1995),Unzipped,1995,Documentary,,2,3.0,0114805,77350,Unzipped Documentary
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",1995,Drama Romance,,21,3.4286,0114887,9560,"Walk in the Clouds, A Drama Romance"
208,Waterworld (1995),Waterworld,1995,Action Adventure Sci-Fi,,115,2.913,0114898,9804,Waterworld Action Adventure Sci-Fi
209,White Man's Burden (1995),White Man's Burden,1995,Drama,,3,3.1667,0114928,31611,White Man's Burden Drama
210,Wild Bill (1995),Wild Bill,1995,Western,,4,3.0,0114938,65796,Wild Bill Western
211,"Browning Version, The (1994)","Browning Version, The",1994,Drama,,2,3.5,0109340,49805,"Browning Version, The Drama"
212,Bushwhacked (1995),Bushwhacked,1995,Adventure Comedy Crime Mystery,,3,3.0,0112602,26258,Bushwhacked Adventure Comedy Crime Mystery
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,,6,3.8333,0111579,50797,Burnt by the Sun (Utomlyonnye solntsem) Drama
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),1994,Drama War,,2,4.0,0110882,19155,Before the Rain (Pred dozhdot) Drama War
215,Before Sunrise (1995),Before Sunrise,1995,Drama Romance,generation X,24,4.0417,0112471,76,Before Sunrise Drama Romance generation X
216,Billy Madison (1995),Billy Madison,1995,Comedy,school|Adam Sandler|stop looking at me swan,49,3.3265,0112508,11017,Billy Madison Comedy school Adam Sandler stop looking at me swan
217,"Babysitter, The (1995)","Babysitter, The",1995,Drama Thriller,,6,2.3333,0112438,37141,"Babysitter, The Drama Thriller"
218,Boys on the Side (1995),Boys on the Side,1995,Comedy Drama,,14,3.4286,0112571,9382,Boys on the Side Comedy Drama
219,"Cure, The (1995)","Cure, The",1995,Drama,,1,3.0,0112757,6715,"Cure, The Drama"
220,Castle Freak (1995),Castle Freak,1995,Horror,,1,3.0,0112643,18256,Castle Freak Horror
222,Circle of Friends (1995),Circle of Friends,1995,Drama Romance,Ireland,16,3.75,0112679,22625,Circle of Friends Drama Romance Ireland
223,Clerks (1994),Clerks,1994,Comedy,cynical|hilarious|independent film|quirky|witty|generation X,104,3.8558,0109445,2292,Clerks Comedy cynical hilarious independent film quirky witty generation X
224,Don Juan DeMarco (1995),Don Juan DeMarco,1995,Comedy Drama Romance,mental illness|psychology,40,3.6125,0112883,1909,Don Juan DeMarco Comedy Drama Romance mental illness psychology
